,Area_Name,Crime_Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
535,Goa,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9,25,3928190,6906420
536,Gujarat,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,567,1118,30433157,635317912
537,Haryana,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,601,685,77297743,122768355
538,Himachal Pradesh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16,123,2296611,40419057
539,Jammu & Kashmir,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,28,121,13125437,24202050
540,Jharkhand,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,15,292,328065,9902369
541,Karnataka,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,116,378,20579025,91306788
542,Kerala,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,37,243,4237380,698169929
543,Lakshadweep,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
544,Madhya Pradesh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,217,362,8046499,41386099
545,Maharashtra,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,902,1643,114074650,1614797474
546,Manipur,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,32,120400,30743668
547,Meghalaya,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,16,2500000,8955200
548,Mizoram,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,15,27,1259207,5436475
549,Nagaland,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9,16,2104007,3110618
550,Odisha,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,74,272,2784237,13541445
551,Puducherry,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4,6,12525000,12645000
552,Punjab,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,243,274,82015692,113718753
553,Rajasthan,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,136,226,1406500,1723542
554,Sikkim,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,10,0,2083734
555,Tamil Nadu,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,43,131,5829862,55595961
556,Tripura,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4,23,372206,3520240
557,Uttar Pradesh,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,284,599,22854450,32401924
558,Uttarakhand,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
559,West Bengal,2006,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,243,519,18904822,77997962
560,Andaman & Nicobar Islands,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,7,0,1477118
561,Andhra Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,53,278,10588289,63766044
562,Arunachal Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,17,41,3274206,51346151
563,Assam,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,56,653,1581103,34040085
564,Bihar,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,26,1309,1318034,14712214
565,Chandigarh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16,38,1915510,3058877
566,Chhattisgarh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,54,140,10931853,30978819
567,Dadra & Nagar Haveli,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9,17,30213260,42084478
568,Daman & Diu,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,5,1100000,1625025
569,Delhi,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,167,451,9096680,124954720
570,Goa,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7,25,1192650,26805017
571,Gujarat,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,545,987,40665503,435121121
572,Haryana,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,585,676,94736133,118459813
573,Himachal Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,10,104,1583229,30067323
574,Jammu & Kashmir,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,30,58,11345485,67056704
575,Jharkhand,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,19,207,350756,6259336
576,Karnataka,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,89,320,10670130,82460451
577,Kerala,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,18,298,1955592,109496116
578,Lakshadweep,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
579,Madhya Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,264,392,19174548,30867694
580,Maharashtra,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,861,1621,176923736,2011980786
581,Manipur,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,19,0,7601968
582,Meghalaya,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,16,1200,92850
583,Mizoram,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7,19,81286,941761
584,Nagaland,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4,11,473000,7192980
585,Odisha,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,107,319,2712285,15837475
586,Puducherry,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,6,398673,1341010
587,Punjab,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,290,313,165365440,190473006
588,Rajasthan,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,181,320,7392870,7846390
589,Sikkim,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,7,0,2076769
590,Tamil Nadu,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,118,256,8750943,94743212
591,Tripura,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,11,42,75000,9839599
592,Uttar Pradesh,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,900,1566,40964993,79013060
593,Uttarakhand,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
594,West Bengal,2007,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,228,669,17147075,86764866
595,Andaman & Nicobar Islands,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,4,12,62169,4331562
596,Andhra Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,109,329,10702595,76445367
597,Arunachal Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,14,43,9690740,23736222
598,Assam,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,114,680,5186080,44107861
599,Bihar,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,94,1352,1290244,19375909
600,Chandigarh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16,37,10373722,18228424
601,Chhattisgarh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,50,146,17199111,49003223
602,Dadra & Nagar Haveli,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,6,10,4640633,17271204
603,Daman & Diu,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,4,0,14367990
604,Delhi,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,100,355,2512000,66787480
605,Goa,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,6,40,3261600,18853727
606,Gujarat,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,482,917,56003381,787400659
607,Haryana,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,537,763,63587887,100913081
608,Himachal Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,14,109,3011299,21016747
609,Jammu & Kashmir,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,25,382280,3802280
610,Jharkhand,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,14,155,485200,15173235
611,Karnataka,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,122,360,60994188,289353089
612,Kerala,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,21,319,8165098,961553395
613,Lakshadweep,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
614,Madhya Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,312,450,13761605,84903306
615,Maharashtra,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,876,1761,152911595,3442732203
616,Manipur,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,24,605000,9553041
617,Meghalaya,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,8,28,826134,5101968
618,Mizoram,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,19,28,1240552,2217536
619,Nagaland,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,16,0,6766575
620,Odisha,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,80,278,27628493,49900708
621,Puducherry,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,3,13,145000,3131550
622,Punjab,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,218,236,75269656,97579635
623,Rajasthan,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,162,255,2795982,3245982
624,Sikkim,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,6,0,155267306
625,Tamil Nadu,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,75,183,12312213,43763705
626,Tripura,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9,42,70300,17060133
627,Uttar Pradesh,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1095,2008,60772740,170207541
628,Uttarakhand,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
629,West Bengal,2008,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,274,853,28559906,122133036
630,Andaman & Nicobar Islands,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,7,0,187903
631,Andhra Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,160,466,38183752,152390321
632,Arunachal Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,14,38,3314510,44973410
633,Assam,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,39,802,3101060,39718582
634,Bihar,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,37,1186,3445872,20075889
635,Chandigarh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,12,38,1368760,4296050
636,Chhattisgarh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,63,166,9361355,22868913
637,Dadra & Nagar Haveli,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9,17,4264187,12792400
638,Daman & Diu,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,6,1045655,2845270
639,Delhi,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,106,333,26063598,168282309
640,Goa,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,14,46,2029444,500734226
641,Gujarat,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,450,987,126189464,1021824056
642,Haryana,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,577,761,95125041,120410728
643,Himachal Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16,88,3410288,22831778
644,Jammu & Kashmir,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,16,36,4537375,10224702
645,Jharkhand,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,47,442,1363825,15951445
646,Karnataka,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,97,389,13716945,865928132
647,Kerala,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,29,254,2023388,141278899
648,Lakshadweep,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
649,Madhya Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,317,437,19209976,51747531
650,Maharashtra,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,918,1735,142506516,1483178194
651,Manipur,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,19,0,3231900
652,Meghalaya,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,3,26,713000,7415545
653,Mizoram,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,13,30,769912,2251157
654,Nagaland,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,6,70000,9818350
655,Odisha,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,39,175,1126618,20650331
656,Puducherry,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,3,7,1049380,4457373
657,Punjab,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,200,222,62133278,86931962
658,Rajasthan,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,208,295,2634820,3126218
659,Sikkim,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,4,0,3783404
660,Tamil Nadu,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,68,205,25609109,99223177
661,Tripura,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,46,52,28000,17838570
662,Uttar Pradesh,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,493,1176,21525323,48400340
663,Uttarakhand,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
664,West Bengal,2009,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,307,896,30082932,151298531
665,Andaman & Nicobar Islands,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,10,147644,530144
666,Andhra Pradesh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,113,417,15315562,101817765
667,Arunachal Pradesh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,20,59,19048720,114314139
668,Assam,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,41,992,1646451,27018001
669,Bihar,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,35,1071,464781,13148146
670,Chandigarh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,5,23,280000,1356000
671,Chhattisgarh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,77,196,10460322,37444239
672,Dadra & Nagar Haveli,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,7,12,1292551,4846741
673,Daman & Diu,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1,4,10000,149000
674,Delhi,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,80,273,7227255,71945074
675,Goa,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,22,45,3744000,16153977
676,Gujarat,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,406,997,72558586,757466843
677,Haryana,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,496,743,207754960,244175753
678,Himachal Pradesh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9,71,452838,21774893
679,Jammu & Kashmir,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,14,36,3364800,14738800
680,Jharkhand,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,147,399,2266675,217344840
681,Karnataka,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,183,380,4313888,120010848
682,Kerala,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,44,264,5789528,482166623
683,Lakshadweep,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
684,Madhya Pradesh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,234,371,32067682,105352477
685,Maharashtra,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,1096,1812,320011695,12140905176
686,Manipur,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,24,0,20531604
687,Meghalaya,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,3,32,164000,4772930
688,Mizoram,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,22,25,1961256,2130191
689,Nagaland,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,2,13,143000,1226000
690,Odisha,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,68,239,14004461,50822458
691,Puducherry,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,9,12,656643,3107999
692,Punjab,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,214,227,22781243,87496183
693,Rajasthan,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,191,241,1580000,1790000
694,Sikkim,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,1,0,798634
695,Tamil Nadu,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,49,156,10621862,375413547
696,Tripura,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,39,44,1205162,10908627
697,Uttar Pradesh,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,293,864,39895913,65056558
698,Uttarakhand,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,0,0,0,0
699,West Bengal,2010,Criminal Breach of Trust - Property,5. Criminal Breach of Trust,202,997,285664678,1065026502
700,Andaman & Nicobar Islands,2001,Dacoity -Property,1. Dacoity,0,0,0,0
701,Andhra Pradesh,2001,Dacoity -Property,1. Dacoity,95,203,12616493,29127698
702,Arunachal Pradesh,2001,Dacoity -Property,1. Dacoity,6,22,401326,5967868
703,Assam,2001,Dacoity -Property,1. Dacoity,116,532,4451846,15912145
704,Bihar,2001,Dacoity -Property,1. Dacoity,234,1290,8297831,66513191
705,Chandigarh,2001,Dacoity -Property,1. Dacoity,4,5,30000,92000
706,Chhattisgarh,2001,Dacoity -Property,1. Dacoity,60,87,2365213,5919328
707,Dadra & Nagar Haveli,2001,Dacoity -Property,1. Dacoity,0,0,0,0
708,Daman & Diu,2001,Dacoity -Property,1. Dacoity,0,0,0,0
709,Delhi,2001,Dacoity -Property,1. Dacoity,29,48,2987000,13217200
710,Goa,2001,Dacoity -Property,1. Dacoity,3,7,131427,524127
711,Gujarat,2001,Dacoity -Property,1. Dacoity,170,313,18828557,62407290
712,Haryana,2001,Dacoity -Property,1. Dacoity,57,76,15431491,20468041
713,Himachal Pradesh,2001,Dacoity -Property,1. Dacoity,2,4,429000,537290
714,Jammu & Kashmir,2001,Dacoity -Property,1. Dacoity,3,24,327310,1487230
715,Jharkhand,2001,Dacoity -Property,1. Dacoity,83,503,2518508,18069915
716,Karnataka,2001,Dacoity -Property,1. Dacoity,92,178,12023070,21450275
717,Kerala,2001,Dacoity -Property,1. Dacoity,49,140,2727221,13092195
718,Lakshadweep,2001,Dacoity -Property,1. Dacoity,0,0,0,0
719,Madhya Pradesh,2001,Dacoity -Property,1. Dacoity,102,166,10217136,15251872
720,Maharashtra,2001,Dacoity -Property,1. Dacoity,339,523,41798247,106628247
721,Manipur,2001,Dacoity -Property,1. Dacoity,1,20,300000,1816150
722,Meghalaya,2001,Dacoity -Property,1. Dacoity,18,96,560400,3658884
723,Mizoram,2001,Dacoity -Property,1. Dacoity,0,2,0,47905
724,Nagaland,2001,Dacoity -Property,1. Dacoity,2,9,350000,813525
725,Odisha,2001,Dacoity -Property,1. Dacoity,106,195,4320190,26153628
726,Puducherry,2001,Dacoity -Property,1. Dacoity,1,1,100000,120000
727,Punjab,2001,Dacoity -Property,1. Dacoity,22,45,425270,47908083
728,Rajasthan,2001,Dacoity -Property,1. Dacoity,36,55,7760601,8923097
729,Sikkim,2001,Dacoity -Property,1. Dacoity,0,0,0,0
730,Tamil Nadu,2001,Dacoity -Property,1. Dacoity,99,158,30479581,38995184
731,Tripura,2001,Dacoity -Property,1. Dacoity,7,26,60600,2431615
732,Uttar Pradesh,2001,Dacoity -Property,1. Dacoity,315,622,27488107,58683161
733,Uttarakhand,2001,Dacoity -Property,1. Dacoity,9,32,779995,5557695
734,West Bengal,2001,Dacoity -Property,1. Dacoity,99,274,12601382,28536019
735,Andaman & Nicobar Islands,2002,Dacoity -Property,1. Dacoity,1,1,50000,50000
736,Andhra Pradesh,2002,Dacoity -Property,1. Dacoity,100,193,13183547,24840635
737,Arunachal Pradesh,2002,Dacoity -Property,1. Dacoity,4,22,982350,3646342
738,Assam,2002,Dacoity -Property,1. Dacoity,90,473,2555266,14499405
739,Bihar,2002,Dacoity -Property,1. Dacoity,187,1289,7949064,61081240
740,Chandigarh,2002,Dacoity -Property,1. Dacoity,1,1,23200,23200
741,Chhattisgarh,2002,Dacoity -Property,1. Dacoity,43,144,3018162,15449856
742,Dadra & Nagar Haveli,2002,Dacoity -Property,1. Dacoity,0,1,0,46650
743,Daman & Diu,2002,Dacoity -Property,1. Dacoity,1,2,500000,537000
744,Delhi,2002,Dacoity -Property,1. Dacoity,42,47,1300570,5229300
745,Goa,2002,Dacoity -Property,1. Dacoity,2,5,555300,1083300
746,Gujarat,2002,Dacoity -Property,1. Dacoity,407,777,16788842,1384990691
747,Haryana,2002,Dacoity -Property,1. Dacoity,46,61,17158072,19640230
748,Himachal Pradesh,2002,Dacoity -Property,1. Dacoity,0,0,0,0
749,Jammu & Kashmir,2002,Dacoity -Property,1. Dacoity,4,42,177050,2244303
750,Jharkhand,2002,Dacoity -Property,1. Dacoity,150,580,5804271,26053033
751,Karnataka,2002,Dacoity -Property,1. Dacoity,80,178,18525551,35793263
752,Kerala,2002,Dacoity -Property,1. Dacoity,44,125,10644120,19804550
753,Lakshadweep,2002,Dacoity -Property,1. Dacoity,0,0,0,0
754,Madhya Pradesh,2002,Dacoity -Property,1. Dacoity,92,136,18864346,25945213
755,Maharashtra,2002,Dacoity -Property,1. Dacoity,325,542,40618698,118901569
756,Manipur,2002,Dacoity -Property,1. Dacoity,0,3,0,12000
757,Meghalaya,2002,Dacoity -Property,1. Dacoity,11,64,1109119,4230859
758,Mizoram,2002,Dacoity -Property,1. Dacoity,1,5,1500,123250
759,Nagaland,2002,Dacoity -Property,1. Dacoity,3,15,181450,995313
760,Odisha,2002,Dacoity -Property,1. Dacoity,105,230,7732281,17657983
761,Puducherry,2002,Dacoity -Property,1. Dacoity,2,2,155000,155000
762,Punjab,2002,Dacoity -Property,1. Dacoity,32,50,1424985,6515666
763,Rajasthan,2002,Dacoity -Property,1. Dacoity,29,45,5620400,8649970
764,Sikkim,2002,Dacoity -Property,1. Dacoity,0,0,0,0
765,Tamil Nadu,2002,Dacoity -Property,1. Dacoity,142,174,37628968,45798255
766,Tripura,2002,Dacoity -Property,1. Dacoity,7,29,185100,3067325
767,Uttar Pradesh,2002,Dacoity -Property,1. Dacoity,200,327,14476770,29712101
768,Uttarakhand,2002,Dacoity -Property,1. Dacoity,15,25,1565980,3389600
769,West Bengal,2002,Dacoity -Property,1. Dacoity,104,204,10394269,26009156
770,Andaman & Nicobar Islands,2003,Dacoity -Property,1. Dacoity,1,2,7000,107000
771,Andhra Pradesh,2003,Dacoity -Property,1. Dacoity,94,173,13612142,42850011
772,Arunachal Pradesh,2003,Dacoity -Property,1. Dacoity,8,37,250518,2239914
773,Assam,2003,Dacoity -Property,1. Dacoity,83,471,4478050,17473511
774,Bihar,2003,Dacoity -Property,1. Dacoity,161,1221,5851830,51817939
775,Chandigarh,2003,Dacoity -Property,1. Dacoity,3,3,10884,15200
776,Chhattisgarh,2003,Dacoity -Property,1. Dacoity,41,140,1469483,10207530
777,Dadra & Nagar Haveli,2003,Dacoity -Property,1. Dacoity,1,4,10000,39070
778,Daman & Diu,2003,Dacoity -Property,1. Dacoity,2,4,1000000,4343009
779,Delhi,2003,Dacoity -Property,1. Dacoity,27,28,4305000,8921500
780,Goa,2003,Dacoity -Property,1. Dacoity,1,4,255000,1303000
781,Gujarat,2003,Dacoity -Property,1. Dacoity,150,330,26943119,58594806
782,Haryana,2003,Dacoity -Property,1. Dacoity,51,63,14729050,21710332
783,Himachal Pradesh,2003,Dacoity -Property,1. Dacoity,4,8,475820,830345
784,Jammu & Kashmir,2003,Dacoity -Property,1. Dacoity,4,23,5042200,5558150
785,Jharkhand,2003,Dacoity -Property,1. Dacoity,156,682,6082015,20784181
786,Karnataka,2003,Dacoity -Property,1. Dacoity,138,220,14506929,29322654
787,Kerala,2003,Dacoity -Property,1. Dacoity,58,118,10501066,25952178
788,Lakshadweep,2003,Dacoity -Property,1. Dacoity,0,0,0,0
789,Madhya Pradesh,2003,Dacoity -Property,1. Dacoity,104,153,13662972,22843695
790,Maharashtra,2003,Dacoity -Property,1. Dacoity,288,504,32601902,87681725
791,Manipur,2003,Dacoity -Property,1. Dacoity,1,3,125000,150000
792,Meghalaya,2003,Dacoity -Property,1. Dacoity,5,83,150100,9269997
793,Mizoram,2003,Dacoity -Property,1. Dacoity,1,5,1500,392265
794,Nagaland,2003,Dacoity -Property,1. Dacoity,3,19,517000,2145059
795,Odisha,2003,Dacoity -Property,1. Dacoity,102,176,3789657,12644032
796,Puducherry,2003,Dacoity -Property,1. Dacoity,2,2,62700,521700
797,Punjab,2003,Dacoity -Property,1. Dacoity,23,30,1323700,4622716
798,Rajasthan,2003,Dacoity -Property,1. Dacoity,22,34,4751260,6824233
799,Sikkim,2003,Dacoity -Property,1. Dacoity,1,2,34500,121500
800,Tamil Nadu,2003,Dacoity -Property,1. Dacoity,85,95,76487971,79302069
801,Tripura,2003,Dacoity -Property,1. Dacoity,6,36,165200,2699536
802,Uttar Pradesh,2003,Dacoity -Property,1. Dacoity,148,227,19351305,51675947
803,Uttarakhand,2003,Dacoity -Property,1. Dacoity,14,18,128500,2322859
804,West Bengal,2003,Dacoity -Property,1. Dacoity,106,217,12959732,39431740
805,Andaman & Nicobar Islands,2004,Dacoity -Property,1. Dacoity,0,0,0,0
806,Andhra Pradesh,2004,Dacoity -Property,1. Dacoity,82,152,9771450,17206064
807,Arunachal Pradesh,2004,Dacoity -Property,1. Dacoity,4,30,762200,4350673
808,Assam,2004,Dacoity -Property,1. Dacoity,65,360,3168829,15737176
809,Bihar,2004,Dacoity -Property,1. Dacoity,140,1319,5650680,80581664
810,Chandigarh,2004,Dacoity -Property,1. Dacoity,0,0,0,0
811,Chhattisgarh,2004,Dacoity -Property,1. Dacoity,30,106,4560404,36973703
812,Dadra & Nagar Haveli,2004,Dacoity -Property,1. Dacoity,3,3,433550,452250
813,Daman & Diu,2004,Dacoity -Property,1. Dacoity,0,0,0,0
814,Delhi,2004,Dacoity -Property,1. Dacoity,29,30,870000,4504322
815,Goa,2004,Dacoity -Property,1. Dacoity,2,5,203000,456650
816,Gujarat,2004,Dacoity -Property,1. Dacoity,160,348,28413195,108910792
817,Haryana,2004,Dacoity -Property,1. Dacoity,42,52,16370790,18937871
818,Himachal Pradesh,2004,Dacoity -Property,1. Dacoity,1,1,1350,1350
819,Jammu & Kashmir,2004,Dacoity -Property,1. Dacoity,0,28,0,8005781
820,Jharkhand,2004,Dacoity -Property,1. Dacoity,150,580,5804271,26053033
821,Karnataka,2004,Dacoity -Property,1. Dacoity,105,177,10843130,40702750
822,Kerala,2004,Dacoity -Property,1. Dacoity,56,114,11313177,33006692
823,Lakshadweep,2004,Dacoity -Property,1. Dacoity,0,0,0,0
824,Madhya Pradesh,2004,Dacoity -Property,1. Dacoity,94,147,15783586,24356418
825,Maharashtra,2004,Dacoity -Property,1. Dacoity,398,623,38410784,98823595
826,Manipur,2004,Dacoity -Property,1. Dacoity,0,2,0,85500
827,Meghalaya,2004,Dacoity -Property,1. Dacoity,7,71,247890,2596018
